E_(0)(eV),Excitation modes,,,,,,,,,
,Elastic,,v^(')_(r),,v^('')_(T),,v^(')_(L),,v^('')_(L),
,sigma,gamma,sigma,gamma,sigma,gamma,sigma,gamma,sigma,gamma
1.7,0.229,0,0,0,0.203,0.3,0.12,0.55,0.485,0.79
3.2,0.192,0,0,0,0.146,0.39,0.08,0.68,0.295,0.81
5.2,0.293,0,0,0,0.157,0.25,0.085,0.66,0.311,0.83
7.2,0.343,0,0,0,0.199,0.35,0.125,0.66,0.412,0.91
9.2,0.234,0,0.006,0,0.12,0.35,0.126,0.66,0.315,0.94
11.2,0.235,0,0.001,0,0.083,0.35,0.091,0.66,0.204,0.94
13.2,0.343,0,0.017,0,0.117,0.4,0.106,0.7,0.242,0.96
15.2,0.384,0,0.018,0,0.137,0.5,0.121,0.8,0.265,0.98
17.2,0.295,0,0.015,0,0.141,0.63,0.117,0.87,0.246,0.98
20,0.201,0,0.012,0,0.12,0.68,0.105,0.91,0.207,0.98
22.5,0.166,0,0.013,0,0.125,0.72,0.108,0.92,0.199,0.99
25,0.141,0,0.013,0,0.124,0.75,0.111,0.96,0.191,0.99
27.5,0.134,0,0.016,0,0.125,0.75,0.115,0.96,0.18,1
30,0.132,0,0.016,0,0.127,0.75,0.118,0.98,0.171,1
32.5,0.137,0,0.019,0,0.131,0.75,0.124,0.98,0.175,1
35,0.138,0,0.021,0,0.13,0.75,0.126,0.98,0.175,1
37.5,0.138,0,0.024,0,0.13,0.75,0.127,0.98,0.17,1
40,0.133,0,0.026,0,0.127,0.76,0.123,1,0.16,I
42.5,0.13,0,0.027,0,0.124,0.77,0.121,1,0.154,1
45,0.125,0,0.026,0,0.119,0.77,0.12,1,0.145,1
47.5,0.119,0,0.025,0,0.115,0.78,0.117,1,0.135,1
50,0.108,0,0.023,0,0.108,0.79,0.109,1,0.124,1
52.5,0.107,0,0.024,0,0.111,0.79,0.112,1,0.126,1
55,0.102,0,0.024,0,0.11,0.79,0.112,1,0.124,1
57.5,0.094,0,0.023,0,0.108,0.79,0.11,1,0.12,1
60,0.087,0,0.024,0,0.109,0.79,0.112,1,0.119,1
62.5,0.081,0,0.024,0,0.112,0.79,0.118,1,0.121,1
65,0.074,0,0.023,0,0.113,0.79,0.121,1,0.12,1
67.5,0.065,0,0.02,0,0.11,0.79,0.12,1,0.116,1
70,0.064,0,0.019,0,0.121,0.79,0.132,1,0.128,1
72.5,0.062,0,0.016,0,0.13,0.79,0.142,1,0.138,1
75,0.058,0,0.012,0,0.13,0.83,0.143,1,0.139,1
77.5,0.054,0,0.009,0,0.13,0.83,0.144,1,0.141,1
80,0.051,0,0.007,0,0.136,0.85,0.152,1,0.148,1
85,0.046,0,0.006,0,0.132,0.86,0.15,1,0.145,1
90,0.04,0,0.005,0,0.119,0.87,0.136,1,0.132,1
100,0.037,0,0.004,0,0.117,0.87,0.134,1,0.129,1